Survived,Pclass,Sex,Age,Parch,Fare,Embarked,NameLength,HasCabin,FamilySize,IsAlone,CategoricalFare,CategoricalAge,Title
0,1,1,37,0,53.1,S,27,1,2,0,3,3,3
0,3,1,16,0,9.2167,S,19,0,1,1,1,0,3
0,1,1,24,0,79.2,C,18,1,1,1,3,1,3
0,3,0,28,2,15.2458,C,29,0,3,0,2,2,2
1,3,0,22,0,7.75,S,24,0,1,1,0,1,4
1,3,0,24,0,15.85,S,52,0,2,0,2,1,2
0,3,1,19,0,6.75,Q,19,0,1,1,0,0,3
0,2,1,18,0,11.5,S,26,0,1,1,1,0,3
0,2,1,19,1,36.75,S,28,0,3,0,3,0,3
1,3,1,27,0,7.7958,S,44,0,1,1,0,2,3
0,3,0,9,2,34.375,S,32,0,5,0,3,0,4
0,2,1,36,2,26.0,S,40,1,3,0,2,3,3
0,2,1,42,0,13.0,S,33,0,1,1,1,4,4
0,2,1,51,0,12.525,S,26,0,1,1,1,4,4
1,1,0,22,0,66.6,S,33,1,2,0,3,1,2
0,3,1,55,0,8.05,S,16,0,1,1,1,4,3
0,3,1,40,2,14.5,S,31,0,3,0,2,3,3
0,3,1,42,0,7.3125,S,21,0,1,1,0,4,3
0,1,1,51,1,61.3792,C,27,0,2,0,3,4,3
1,3,0,16,0,7.7333,Q,32,0,1,1,0,0,4
0,3,1,30,0,8.05,S,15,0,1,1,1,2,3
0,3,1,26,0,8.6625,S,19,0,1,1,1,2,3
0,3,1,16,2,69.55,S,26,0,11,0,3,0,4
0,3,1,44,1,16.1,S,24,0,2,0,2,4,3
1,2,0,40,0,15.75,S,50,0,1,1,2,3,2
0,3,1,26,0,7.775,S,26,0,1,1,0,2,3
0,3,1,17,0,8.6625,S,15,0,1,1,1,0,3
0,3,1,1,1,39.6875,S,28,0,6,0,3,0,4
1,3,1,9,2,20.525,S,47,0,3,0,2,0,4
1,1,0,17,1,55.0,S,38,1,2,0,3,0,2
0,3,0,45,4,27.9,S,47,0,6,0,2,4,2
0,1,1,25,0,25.925,S,19,0,1,1,2,1,3
0,3,1,28,0,56.4958,S,13,0,1,1,3,2,3
0,1,1,61,0,33.5,S,25,1,1,1,3,4,3
0,3,1,4,1,29.125,Q,20,0,6,0,2,0,4
1,3,0,1,1,11.1333,S,28,0,3,0,1,0,4
0,3,1,21,0,7.925,S,25,0,1,1,1,1,3
0,1,1,56,0,30.6958,C,23,1,1,1,2,4,3
0,3,1,18,1,7.8542,S,22,0,3,0,0,0,3
0,3,1,26,1,25.4667,S,29,0,5,0,2,2,4
0,1,0,50,0,28.7125,C,26,1,1,1,2,4,4
0,2,1,30,0,13.0,S,18,0,1,1,1,2,3
0,3,1,36,0,0.0,S,19,0,1,1,0,3,3
0,3,0,18,2,69.55,S,28,0,11,0,3,0,4
0,2,1,41,0,15.05,C,16,0,1,1,2,4,3
0,3,1,9,2,31.3875,S,37,0,7,0,3,0,4
1,2,1,1,1,39.0,S,25,1,4,0,3,0,4
1,3,0,4,2,22.025,S,35,0,3,0,2,0,4
0,1,1,19,0,50.0,S,21,1,1,1,3,0,3
1,3,0,19,0,15.5,Q,47,0,2,0,2,0,2
1,1,1,45,0,26.55,S,45,0,1,1,2,4,3
0,3,1,40,1,15.5,Q,16,0,3,0,2,3,3
0,3,1,36,0,7.8958,S,19,0,1,1,0,3,3
1,2,0,32,0,13.0,S,19,0,1,1,1,3,2
0,2,1,19,0,13.0,S,21,0,1,1,1,0,3
1,3,0,19,0,7.8542,S,47,0,2,0,0,0,4
1,2,1,3,1,26.0,S,26,1,3,0,2,0,4
1,1,0,44,0,27.7208,C,41,1,1,1,2,4,2
1,1,0,58,0,146.5208,C,20,1,1,1,3,4,4
0,3,1,25,0,7.75,Q,19,0,1,1,0,1,3
0,3,1,42,1,8.4042,S,32,0,2,0,1,4,3
1,3,0,17,0,7.75,Q,32,0,1,1,0,0,4
0,2,0,24,0,13.0,S,38,0,1,1,1,1,4
0,3,1,28,0,9.5,S,30,0,1,1,1,2,3
0,3,1,17,2,69.55,S,19,0,11,0,3,0,3
0,3,1,34,0,6.4958,S,26,0,1,1,0,3,3
0,3,1,45,0,7.225,C,20,0,1,1,0,4,3
1,3,1,18,0,8.05,S,24,0,1,1,1,0,3
0,3,0,2,1,10.4625,S,26,1,2,0,1,0,4
0,3,1,32,0,15.85,S,26,0,2,0,2,3,3
1,3,1,26,0,18.7875,C,27,0,1,1,2,2,3
1,3,0,16,0,7.75,Q,25,0,1,1,0,0,4
1,1,1,40,0,31.0,C,16,1,1,1,2,3,3
0,3,1,24,0,7.05,S,14,0,1,1,0,1,3
1,2,0,35,0,21.0,S,26,0,1,1,2,3,4
0,3,1,22,0,7.25,S,22,0,1,1,0,1,3
0,2,1,30,0,13.0,S,27,0,1,1,1,2,3
0,3,1,34,0,7.75,Q,19,0,2,0,0,3,3
1,1,0,31,0,113.275,C,23,1,2,0,3,2,4
1,3,0,27,0,7.925,S,22,0,1,1,1,2,4
0,2,1,42,0,27.0,S,28,0,2,0,2,4,3
1,1,0,32,0,76.2917,C,21,1,1,1,3,3,4
0,2,1,30,0,10.5,S,18,0,1,1,1,2,3
1,3,1,16,0,8.05,S,30,0,1,1,1,0,3
0,2,1,27,0,13.0,S,20,0,1,1,1,2,3
0,3,1,51,0,8.05,S,23,0,1,1,1,4,3
0,3,1,22,0,7.8958,S,20,0,1,1,0,1,3
1,1,1,38,0,90.0,S,28,1,2,0,3,3,3
0,3,1,22,0,9.35,S,28,0,1,1,1,1,3
1,2,1,19,0,10.5,S,25,0,1,1,1,0,3
0,3,1,20,0,7.25,S,31,0,1,1,0,1,3
0,2,1,18,0,13.0,S,25,0,1,1,1,0,3
0,3,0,28,1,25.4667,S,23,0,5,0,2,2,4
1,1,0,35,0,83.475,S,44,1,2,0,3,3,2
0,3,1,29,0,7.775,S,24,0,1,1,0,2,3
0,2,1,59,0,13.5,S,25,0,1,1,1,4,3
1,3,0,5,2,31.3875,S,30,0,7,0,3,0,4
0,2,1,24,0,10.5,S,33,0,1,1,1,1,3
0,3,0,23,0,7.55,S,28,0,1,1,0,1,4
0,2,1,44,0,26.0,S,17,0,2,0,2,4,3
1,2,0,8,2,26.25,S,32,0,3,0,2,0,4
0,2,1,19,0,10.5,S,31,0,1,1,1,0,3
0,2,1,33,0,12.275,S,22,0,1,1,1,3,3
0,3,0,21,0,14.4542,C,21,0,2,0,1,1,4
1,3,0,25,0,15.5,Q,30,0,2,0,2,1,4
0,2,1,29,0,10.5,S,31,0,1,1,1,2,3
0,3,1,22,0,7.125,S,29,0,1,1,0,1,3
0,3,1,30,0,7.225,C,20,0,1,1,0,2,3
0,1,1,44,0,90.0,Q,27,1,3,0,3,4,4
0,3,0,25,0,7.775,S,37,0,1,1,0,1,4
1,2,0,24,2,14.5,S,31,0,3,0,2,1,2
1,1,1,37,1,52.5542,S,29,1,3,0,3,3,3
0,2,1,54,0,26.0,S,29,0,2,0,2,4,4
0,3,1,15,0,7.25,S,22,0,1,1,0,0,3
0,3,0,29,1,10.4625,S,42,1,3,0,1,2,2
0,1,1,62,0,26.55,S,25,1,1,1,2,4,3
0,3,1,30,0,16.1,S,24,0,2,0,2,2,3
0,3,0,41,2,20.2125,S,40,0,3,0,2,4,2
1,3,0,29,2,15.2458,C,39,0,3,0,2,2,2
1,1,0,41,0,79.2,C,30,0,1,1,3,4,2
1,1,0,30,0,86.5,S,20,1,1,1,3,2,4
1,1,0,35,0,512.3292,C,16,0,1,1,3,3,4
1,2,0,50,1,26.0,S,27,0,2,0,2,4,2
0,3,1,19,0,7.75,Q,17,0,1,1,0,0,3
1,3,1,3,2,31.3875,S,33,0,7,0,3,0,4
0,1,1,52,1,79.65,S,17,1,3,0,3,4,3
0,1,1,40,0,0.0,S,21,1,1,1,0,3,3
0,3,0,37,0,7.75,Q,18,0,1,1,0,3,4
0,2,1,36,0,10.5,S,17,0,1,1,1,3,3
0,3,1,16,1,39.6875,S,25,0,6,0,3,0,3
1,3,1,25,0,7.775,S,24,0,2,0,0,1,3
1,1,0,58,1,153.4625,S,45,1,2,0,3,4,2
1,1,0,35,0,135.6333,S,22,1,1,1,3,3,4
0,1,1,18,0,31.0,S,21,0,1,1,2,0,3
1,3,1,25,0,0.0,S,28,0,1,1,0,1,3
1,2,0,41,1,19.5,S,41,0,2,0,2,4,2
0,1,1,37,1,29.7,C,21,1,2,0,2,3,3
1,3,0,31,0,7.75,Q,26,0,1,1,0,2,4
1,1,0,63,0,77.9583,S,33,1,2,0,3,4,4
0,3,0,45,0,7.75,S,33,0,1,1,0,4,4
0,2,1,41,0,0.0,S,27,0,1,1,0,4,3
0,3,1,7,1,29.125,Q,18,0,6,0,2,0,4
1,3,0,35,1,20.25,S,32,0,3,0,2,3,2
0,3,1,65,0,7.75,Q,16,0,1,1,0,4,3
0,3,1,28,0,7.8542,S,32,0,1,1,0,2,3
0,3,1,16,0,9.5,S,25,0,1,1,1,0,3
1,3,1,19,0,8.05,S,26,0,1,1,1,0,3
0,1,1,27,0,26.0,S,26,1,1,1,2,2,3
0,3,1,33,0,8.6625,C,19,0,1,1,1,3,3
1,3,1,30,0,9.5,S,23,0,1,1,1,2,3
0,3,1,22,0,7.8958,S,20,0,1,1,0,1,3
1,2,1,42,0,13.0,S,20,0,1,1,1,4,3
1,3,0,22,0,7.75,Q,20,0,1,1,0,1,4
1,1,0,26,0,78.85,S,28,0,1,1,3,2,4
1,1,0,19,0,91.0792,C,39,1,2,0,3,0,2
0,2,1,36,0,12.875,C,22,1,1,1,1,3,3
0,3,0,24,0,8.85,S,19,0,1,1,1,1,4
0,3,1,24,0,7.8958,S,16,0,1,1,0,1,3
0,1,1,38,0,27.7208,C,17,0,1,1,2,3,3
0,3,1,23,0,7.2292,C,18,0,1,1,0,1,3
0,1,0,2,2,151.55,S,28,1,4,0,3,0,4
1,1,1,23,0,30.5,S,21,1,1,1,2,1,3
1,1,0,50,1,247.5208,C,47,1,2,0,3,4,2
1,3,0,35,0,7.75,Q,40,0,1,1,0,3,4
1,3,1,43,0,23.25,Q,18,0,3,0,2,4,3
0,3,1,19,0,0.0,S,31,0,1,1,0,0,3
1,2,0,39,0,12.35,Q,19,1,1,1,1,3,4
0,3,1,39,0,8.05,S,33,0,1,1,1,3,3
1,1,1,0,2,151.55,S,30,1,4,0,3,0,4
1,1,0,18,0,110.8833,C,23,0,1,1,3,0,4
1,1,0,17,0,108.9,C,82,1,2,0,3,0,2
0,2,1,30,0,24.0,C,19,0,2,0,2,2,3
1,1,0,30,0,56.9292,C,30,1,1,1,3,2,4
1,1,0,24,0,83.1583,C,30,1,1,1,3,1,4
1,1,0,18,2,262.375,C,26,1,5,0,3,0,4
0,2,0,26,1,26.0,S,37,0,3,0,2,2,2
0,3,1,28,0,7.8958,S,22,0,1,1,0,2,3
0,2,1,43,1,26.25,S,18,0,3,0,2,4,3
1,3,0,26,0,7.8542,S,31,0,1,1,0,2,4
1,2,0,24,0,26.0,S,35,0,2,0,2,1,2
0,2,1,54,0,14.0,S,20,0,1,1,1,4,4
1,1,0,31,2,164.8667,S,24,1,3,0,3,2,4
1,1,0,40,1,134.5,C,56,1,3,0,3,3,2
0,3,1,22,0,7.25,S,18,0,1,1,0,1,3
0,3,1,27,0,7.8958,S,16,0,1,1,0,2,3
1,2,0,30,0,12.35,Q,25,0,1,1,1,2,4
1,2,0,22,1,29.0,S,51,0,3,0,2,1,2
0,3,1,25,2,69.55,S,24,0,11,0,3,1,3
1,1,0,36,0,135.6333,C,24,1,1,1,3,3,4
0,3,1,61,0,6.2375,S,25,0,1,1,0,4,3
1,2,0,36,0,13.0,S,23,1,1,1,1,3,2
1,3,0,31,1,20.525,S,46,0,3,0,2,2,2
1,1,0,16,1,57.9792,C,28,1,2,0,3,0,4
1,3,0,36,0,23.25,Q,18,0,3,0,2,3,4
0,1,1,45,0,28.5,S,19,1,1,1,2,4,3
0,1,1,38,1,153.4625,S,25,1,2,0,3,3,3
0,3,1,16,0,18.0,S,31,0,3,0,2,0,3
1,1,0,28,0,133.65,S,50,0,2,0,3,2,2
0,3,1,28,0,7.8958,S,18,0,1,1,0,2,3
0,1,1,29,0,66.6,S,25,1,2,0,3,2,3
1,1,0,41,0,134.5,C,31,1,1,1,3,4,4
1,3,1,45,0,8.05,S,21,0,1,1,1,4,3
0,1,1,45,0,35.5,S,28,1,1,1,3,4,3
1,2,1,2,1,26.0,S,30,1,3,0,2,0,4
1,1,0,24,2,263.0,S,30,1,6,0,3,1,4
0,2,1,28,0,13.0,S,26,0,1,1,1,2,3
0,2,1,25,0,13.0,S,42,0,1,1,1,1,3
0,2,1,36,0,13.0,S,23,0,1,1,1,3,3
1,2,0,24,0,13.0,S,29,1,1,1,1,1,4
1,2,0,40,0,13.0,S,25,0,1,1,1,3,4
1,3,0,34,0,16.1,S,41,0,2,0,2,3,2
1,3,1,3,1,15.9,S,38,0,3,0,2,0,4
0,3,1,42,0,8.6625,S,16,0,1,1,1,4,3
0,3,1,23,0,9.225,S,22,0,1,1,1,1,3
0,1,1,29,0,35.0,S,38,1,1,1,3,2,3
0,3,1,15,1,7.2292,C,18,0,3,0,0,0,3
0,3,1,25,0,17.8,S,25,0,2,0,2,1,3
0,3,1,21,0,7.225,C,17,0,1,1,0,1,3
0,3,1,28,0,9.5,S,27,0,1,1,1,2,3
1,1,0,22,1,55.0,S,27,1,2,0,3,1,4
0,2,0,38,0,13.0,S,25,0,1,1,1,3,4
1,3,0,35,0,7.8792,Q,20,0,1,1,0,3,4
1,3,0,25,0,7.8792,Q,33,0,1,1,0,1,4
0,3,1,40,4,27.9,S,18,0,6,0,2,3,3
0,2,1,29,0,27.7208,C,25,0,2,0,2,2,3
0,3,0,45,1,14.4542,C,31,0,2,0,1,4,2
0,3,1,35,0,7.05,S,15,0,1,1,0,3,3
0,3,1,40,0,15.5,Q,19,0,2,0,2,3,3
0,3,1,30,0,7.25,S,30,0,1,1,0,2,3
1,1,0,60,0,75.25,C,48,1,2,0,3,4,2
1,3,0,33,0,7.2292,C,30,0,1,1,0,3,2
1,3,0,27,0,7.75,Q,19,0,1,1,0,2,4
1,1,0,24,0,69.3,C,29,1,1,1,3,1,2
1,1,1,25,0,55.4417,C,27,1,2,0,3,1,3
0,3,1,18,0,6.4958,S,25,0,2,0,0,0,3
0,3,1,19,0,8.05,S,26,0,1,1,1,0,3
0,1,1,22,0,135.6333,C,19,0,1,1,3,1,3
0,3,0,3,1,21.075,S,26,0,5,0,2,0,4
1,1,0,36,0,82.1708,C,37,0,2,0,3,3,2
1,3,0,22,0,7.25,S,31,0,1,1,0,1,4
0,1,1,27,2,211.5,C,25,1,3,0,3,2,3
0,3,1,20,0,4.0125,C,19,0,1,1,0,1,3
0,3,1,19,0,7.775,S,27,0,1,1,0,0,3
1,1,0,42,0,227.525,C,21,0,1,1,3,4,4
1,3,0,1,2,15.7417,C,27,0,3,0,2,0,4
0,3,1,32,0,7.925,S,18,0,1,1,1,3,3
1,1,0,35,0,52.0,S,51,0,2,0,3,3,2
0,3,1,15,0,7.8958,S,22,0,1,1,0,0,3
0,2,1,18,0,73.5,S,25,0,1,1,3,0,3
0,3,1,1,2,46.9,S,31,0,8,0,3,0,4
1,2,0,36,0,13.0,S,16,0,1,1,1,3,4
0,3,1,29,0,7.7292,Q,20,0,1,1,0,2,3
1,2,0,17,0,12.0,C,21,0,1,1,1,0,4
1,1,1,36,2,120.0,S,26,1,4,0,3,3,3
1,3,1,21,0,7.7958,S,22,0,1,1,0,1,3
0,3,1,28,0,7.925,S,28,0,3,0,1,2,3
1,1,0,23,0,113.275,C,22,1,2,0,3,1,4
1,3,0,24,2,16.7,S,51,1,3,0,2,1,2
0,3,1,22,0,7.7958,S,19,0,1,1,0,1,3
0,3,0,31,0,7.8542,S,19,0,1,1,0,2,4
0,2,1,46,0,26.0,S,23,0,1,1,2,4,3
0,2,1,23,0,10.5,S,16,0,1,1,1,1,4
1,2,0,28,0,12.65,S,32,0,1,1,1,2,2
1,3,1,39,0,7.925,S,18,0,1,1,1,3,3
0,3,1,26,0,8.05,S,15,0,1,1,1,2,3
0,3,0,21,0,9.825,S,24,0,2,0,1,1,4
0,3,1,28,0,15.85,S,30,0,2,0,2,2,3
0,3,0,20,0,8.6625,S,23,0,1,1,1,1,4
0,2,1,34,0,21.0,S,18,0,2,0,2,3,3
0,3,1,51,0,7.75,S,32,0,1,1,0,4,3
1,2,1,3,1,18.75,S,30,0,3,0,2,0,4
0,3,1,21,0,7.775,S,33,0,1,1,0,1,3
0,3,0,39,1,25.4667,S,18,0,5,0,2,3,4
0,3,1,42,0,7.8958,S,18,0,1,1,0,4,3
0,3,1,20,0,6.8583,Q,15,0,1,1,0,1,3
1,1,0,33,0,90.0,Q,22,1,2,0,3,3,4
0,2,1,15,0,0.0,S,30,0,1,1,0,0,3
1,3,1,44,0,7.925,S,25,0,1,1,1,4,3
0,3,0,26,0,8.05,S,39,0,1,1,1,2,2
1,2,0,34,1,32.5,S,47,0,3,0,3,3,2
1,2,0,18,2,13.0,S,29,0,3,0,1,0,4
0,2,1,30,0,13.0,S,26,0,1,1,1,2,3
0,3,0,10,2,24.15,S,25,0,3,0,2,0,4
0,3,1,37,0,7.8958,C,22,0,1,1,0,3,3
0,3,1,21,0,7.7333,Q,19,0,1,1,0,1,3
0,3,1,29,0,7.875,S,18,0,1,1,0,2,3
0,3,0,28,1,14.4,S,54,0,3,0,1,2,2
0,3,1,18,1,20.2125,S,27,0,3,0,2,0,3
0,3,1,17,0,7.25,S,22,0,1,1,0,0,3
1,2,0,28,0,26.0,S,43,0,2,0,2,2,2
1,2,0,19,0,26.0,S,67,0,1,1,2,0,4
0,3,1,39,0,7.75,Q,16,0,1,1,0,3,3
1,3,1,32,0,8.05,S,34,1,1,1,1,3,3
1,1,1,28,0,26.55,S,41,1,1,1,2,2,3
1,3,0,25,0,16.1,S,49,0,2,0,2,1,2
1,2,0,42,0,26.0,S,51,0,2,0,2,4,2
0,3,1,17,0,7.125,S,26,0,1,1,0,0,3
0,1,1,50,0,55.9,S,25,1,2,0,3,4,3
1,1,0,14,2,120.0,S,25,1,4,0,3,0,4
0,3,0,21,2,34.375,S,36,0,5,0,3,1,4
1,2,0,24,3,18.75,S,37,0,6,0,2,1,2
0,1,1,64,4,263.0,S,17,1,6,0,3,4,3
0,2,1,31,0,10.5,S,38,0,1,1,1,2,3
1,2,0,45,1,26.25,S,43,0,3,0,2,4,2
0,3,1,20,0,9.5,S,15,0,1,1,1,1,3
0,3,1,25,0,7.775,S,25,0,2,0,0,1,3
1,2,0,28,0,13.0,S,25,0,1,1,1,2,1
1,3,1,22,0,8.1125,S,33,0,1,1,1,1,3
1,1,1,4,2,81.8583,S,25,1,3,0,3,0,4
1,2,0,13,1,19.5,S,33,0,2,0,2,0,4
1,1,1,34,0,26.55,S,27,0,1,1,2,3,3
1,3,0,5,1,19.2583,C,30,0,4,0,2,0,4
1,1,1,52,0,30.5,S,30,1,1,1,2,4,4
0,2,1,36,2,27.75,S,21,0,4,0,2,3,3
0,3,1,35,0,19.9667,S,31,0,2,0,2,3,3
0,1,1,30,0,27.75,C,31,1,1,1,2,2,3
1,1,1,49,0,89.1042,C,24,1,2,0,3,4,3
0,3,1,28,0,8.05,S,19,0,1,1,1,2,3
